UID,VERDICT
22eb6f5f2b4ab14cce43160e3edb0576b62194db,0
cd5283327f06067f3e8f8c38f76942ce3d56d38b,1
05952d3c79f91678f473181ec07b3faab469fef7,0
3d5336e0108e55f071aae9e619d69f468c9d3413,1
2f1ae7889236050c295354d83fa06b2d9fc7f306,1
b9908ed8807b61cdfd5ee34444d8afc3b59e9354,1
ac61c2fc048f18b37d0e91b4c30beae1b1f5f9f1,1
6602ac35e7a2bd0c5ab96c9910885f17f23bb497,0
c1c61321303f1b0cc813fbd52c20c310f8cdddd5,1
7ec1a4d55e74fd47608b57a2b5467c0b8d873b51,0
07ab0dd482235788fb525759304d5ff3318119cb,1
3ed99335bdbde25a14f9ac09327f406e2c1c91f6,0
fc3c8fcd13592bf6dd49ffd4e7f049cc0ab29736,0
80a7cf89fcf0848fb884db8ef939fc6883b2958a,1
27accf02dd30ef0a7fbc6158d29f7a72555a2832,1
e157e88f8f44032380e1ef7b6158d23df10a7b47,1
ef93ccfd28080cb7ec2897b3eda4ca58aef147f4,1
896fe6f383e02a7e6a5b9d9a2a1b6d39c5531074,0
d6528fde0370bfa03b3c360485f04777a0f906ab,0
46b140dc454b49417c50fa65752353c583c949fc,1
7dbeb10ef1f4a834e1cae5cce2d22b07aec9090e,1
144f4130c8768b3610e7d6f5a1103a4101ea98df,1
dac8e8c33d0395fb2fb8456e826c7dfa51c18fb5,1
f01efa23399d6ae55c6cd1bddd95cbc3089f46bd,0
91c8e4666e1604df03d96b55cbc0784f4760cccc,1
45f3fa91e86c881d3e9d0616a319d304fdcfbd06,0
63a114e5e1da3433866e87989be4156df43b14e5,1
f5fb4516e714e66feb7f6ae68b2584bfc6da1214,1
90846a8af24756f1cf5652fdd2cb12e87c4889bb,0
4e5dda0659dabcdb2d7e7c5d1d29dcfcb4672315,0
af74e35e99c766941d4285a900e08c26d4161862,0
4beb501425a1326bdd763eaeb11c2f07153b497d,1
464e5f224856a7b24cf3154e034ba39fa4751f1a,1
9f48e223bac27be7ee2e9432b316e79636905710,0
dc88de6c32e2ad13f4ce80edefbb97f0b26b9ab0,1
908d4dbca3e64a6f4c8437adeb15116aaec5ac39,1
54c347f3cc2067183a4b7774497defdc2b69624f,1
da71536c95683df6c0f47650f6023141477145c4,1
c8fc6ea1e0c70663dd90611b0d6347e2a0d3f427,1
2d0bb9ea5d0693cd45bd52aedd4875c9db49c7ec,0
66c6715b6516b5168ebd6e63192f105e28834ea7,1
511d76241db9c3428c82fd61c5edca4d084c29b7,1
b64fc2010303c9fee7995b6d6ed4aaaefb1f6b7b,0
fe2aa11acd3716893179ee23f84894862c77e39d,1
83177b88af41760bd3939ae36705f37f84df30d9,1
74dd39ac528a16b5bfc720f7548630981e21f707,0
eee557bf9917e66dd35fe1dc3dd8eeb9d12c1841,1
48b18ec9991e1a880f96317a1e4fec1c9cc86a09,1
ddc421111e3e20ff77558db8c81a6eb25d42ef48,1
e78e38642c7479a61116ec64e08836a87083c217,1
67df994fe4cedfeb27ef0fd44002987f8c39d65e,1
2af7256a9174df8239f00ed9d51c1b276d04cf63,1
e52938b3ebc85dced2f3ca41c310d8633111819d,1
ac8fdde9341ab68ea198d7ebcc919a3aefbd6139,0
fda603d19b0cc341b7a0f99f2a81bd1497afa46e,1
1529550400b2672ebbd3ca82dd46654498e13d61,0
4ccab95f5bdcf7f407d413ac68ffeca7196f0e5c,0
6119046fd06a9b3fdf2ff9e4cd565b4efa8e404f,0
13cb17a1506920f713e66151d5b9f49eeb032084,1
152e37689f6a79cb0dc6b5cfef31195b03176265,1
e88be129f2bfedb872b4c7d35400a4289a31c9ea,1
d171aa91eec4a3ffee60ce255d4833528b8ff51a,1
ad11d0c074b4a1775e5c36e6f595b0d48a4e1761,0
7d1237b49777c0f1d3055f605a45ab829299b3c3,1
ca81fa41f161457c11aacae579a83617586528fa,1
817accc82a97df3a996a9e9e71b7b5b89ccf9d6a,0
a201dc07560263ad13fa051cdc73963f16309363,0
afb1bc71234b56ecff19fc7b51b151db1360cc88,0
ad790ac846c1d642c6ee8adcea01f5a2c6930208,1
135247426ac258a563feb6758fa75f5e02d17b2e,1
8fc8610bfac768c05f4986ca2a90fff29cb78510,1
5d10c7f1fdf79eeba85b641700d6e1afb233889b,0
5d990affb4b1235126d06929bd04f14e8ced2eb8,1
194f48936181e25f5f5047b76f268ecfedfc6a66,0
ebcd7025867ece5ab8c10815a165b4355813de5e,0
3ac174cafd18eb8c72f5229895f8d075e85f9e3a,0
5c66a0522a66ed53f1c67a34c814ac28e09ea87b,0
926979c6de765c14adc2dd7986c3ab76202df0e3,1
e8c9244fc8dbf44fcf669b9799ddebf01aa04d5a,0
c2ea000a5e5a0f35b3a2251d8df17312bdf78dc6,1
7903e74f61f50d51d5f15aceb9419f31f817ee1b,1
ab4a4b0a307058f02897eb8f7f17c41a086ee5a1,1
635303cdaed3ba623f2f1c679f33e795aa5bdd61,0
28a626349a58bacd0ccde978ad81eeda41d8825c,1
4111498ef7ab3877b4be59f37bfa1bc236eb7b92,1
a1734ec51a81a0a731b1742a2575263df6644403,0
03ac49dce2054dcdbb8d8e4e2f7a0f6230855d3a,0
fa94fddfc41d8861d6d8036e773c8d8c875c394a,1
cf694372ac50e1b36b99b2b7d03a47a4f38767df,1
c0b262e50577bd93fb2c2ec2b0f4f4e7fafbbe6d,1
3b9ed862751327171d3af3081d28b8e2c6eff24b,1
09a7927f90fdd08316d1935adc0f41c3aac05e0d,1
4da4c1073e4779c67784624a82e4b572b66e3c07,1
a92a677477422e37c2af4500ede6785302a80ebc,1
bfaa2ad1653a3b79f5b7a9c538118cfc714157ea,1
a0c1d2edda726fa5eed4f3ca52c204fe1f4c02de,1
